Brand channel,Brand channel (group),Category,Channel,Channel (group),Channel (group) 1,channels,Link,Name,Primary language,F1,Rank,Subscribers (millions)
Yes,Yes,Music,India,Other,India,India,Link,T-Series,Hindi[7][8],0,1,238
Yes,Yes,Education,United States,Other,Other,Other,Link,Cocomelon,English,1,2,155
Yes,Yes,Entertainment,India,Other,India,India,Link,Sony Entertainment Television India,Hindi[9],2,3,153
No,Other,Entertainment,United States,Other,Other,Other,Link,MrBeast,English,3,4,137
No,Other,Games,Sweden,Other,Other,Other,Link,PewDiePie,English,4,5,111
Yes,Yes,Entertainment,Ukraine,Other,Other,Other,Link,Kids Diana Show,English[10][11][12],5,6,109
No,Other,Entertainment,United States,Other,Other,Other,Link,Like Nastya,English,6,7,105
No,Other,Entertainment,Russia,Other,Other,Other,Link,Vlad and Niki,English,7,8,94.9
Yes,Yes,Sports,United States,Other,Other,Other,Link,WWE,English,8,9,93.8
Yes,Yes,Music,India,Other,India,India,Link,Zee Music Company,Hindi[13][14],9,10,93.4
Yes,Yes,Music,South Korea,Other,Other,Other,Link,Blackpink,Korean,10,11,84.8
Yes,Yes,Film,India,Other,India,India,Link,Goldmines,Hindi,11,12,83.3
Yes,Yes,How-to,Cyprus[a],Other,Other,Other,Link,5-Minute Crafts,English,12,13,79.2
Yes,Yes,Entertainment,India,Other,India,India,Link,Sony SAB,Hindi,13,14,78.2
No,Other,Music,South Korea,Other,Other,Other,Link,BangtanTV,Korean,14,15,73.9
No,Other,Music,Canada,Other,Other,Other,Link,Justin Bieber,English,15,16,71.1
Yes,Yes,Music,South Korea,Other,Other,Other,Link,Hybe Labels,Korean,16,17,69.5
Yes,Yes,Music,Brazil,Other,Other,Other,Link,Canal KondZilla,Portuguese,17,18,66.4
Yes,Yes,Entertainment,India,Other,India,India,Link,Zee TV,Hindi,18,19,66.3
Yes,Yes,Education,South Korea,Other,Other,Other,Link,Pinkfong,English,19,20,66.1
Yes,Yes,Music,India,Other,India,India,Link,Shemaroo Entertainment,Hindi,20,21,64.2
Yes,Yes,Education,India,Other,India,India,Link,ChuChu TV,Hindi[16],21,22,63.2
Yes,Yes,Entertainment,India,Other,India,India,Link,Colors TV,Hindi,22,23,60.6
No,Other,Sports,United States,Other,Other,Other,Link,Dude Perfect,English,23,24,59
Yes,Yes,Film,United States,Other,Other,Other,Link,Movieclips,English,24,25,58.8
Yes,Yes,Music,India,Other,India,India,Link,T-Series Bhakti Sagar,Hindi,25,26,58.4
Yes,Yes,Entertainment,India,Other,India,India,Link,Tips Industries,Hindi,26,27,57.3
Yes,Yes,Music,India,Other,India,India,Link,Wave Music,Bhojpuri,27,28,56.6
No,Other,Music,United States,Other,Other,Other,Link,Marshmello,English,28,29,56.2
Yes,Yes,Music,India,Other,India,India,Link,Sony Music India,Hindi,29,30,56.1
Yes,Yes,Music,T-Series,Other,Other,Other,Link,El Reino Infantil,Spanish,30,31,56
Yes,Yes,News,India,Other,India,India,Link,Aaj Tak,Hindi,31,32,55.9
No,Other,Music,United States,Other,Other,Other,Link,Eminem,English,32,33,55.6
Yes,Yes,Music,Romania,Other,Other,Other,Link,LooLoo Kids,English,33,34,53.1
No,Other,Music,ZeeTv,Other,Other,Other,Link,Ed Sheeran,English,34,35,53
Yes,Yes,Music,India,Other,India,India,Link,Yash Raj Films,Hindi,35,36,52.7
No,Other,Music,United States,Other,Other,Other,Link,Ariana Grande,English,36,37,52.4
No,Other,Music,United States,Other,Other,Other,Link,Taylor Swift,English,37,38,51.1
Yes,Yes,Entertainment,United States,Other,Other,Other,Link,BillionSurpriseToys,English,38,39,50.6
Yes,Yes,Education,India,Other,India,India,Link,Infobells,Hindi,39,40,49.8
No,Other,Games,Chile,Other,Other,Other,Link,JuegaGerman,Spanish,40,41,47.6
No,Other,Music,United States,Other,Other,Other,Link,Billie Eilish,English,41,42,47.4
Yes,Yes,Entertainment,Mexico,Mexico,Other,Other,Link,Badabun,Spanish,42,43,46.5
No,Other,Games,El Salvador,Other,Other,Other,Link,Fernanfloo,Spanish,43,44,45.7
No,Other,Music,United States ( Puerto Rico),Other,Other,Other,Link,Bad Bunny,Spanish,44,45,45.4
Yes,Yes,Music,India,Other,India,India,Link,SonyMusicIndiaVEVO,Hindi,45,46,45.4
Yes,Yes,Entertainment,India,Other,India,India,Link,Shemaroo,Hindi,46,47,45.2
Yes,Yes,Entertainment,Russia,Other,Other,Other,Link,Get Movies,Russian,47,48,45
No,Other,Entertainment,Brazil,Other,Other,Other,Link,Felipe Neto,Portuguese,48,49,44.9
No,Other,Entertainment,PewDiePie,Other,Other,Other,Link,A4,Russian,49,50,44.6
"As of March 14, 2023UTC",Other,"As of March 14, 2023UTC",Cocomelon,Other,Other,Other,"As of March 14, 2023UTC","As of March 14, 2023UTC","As of March 14, 2023UTC",50,,
